artist_id;artist_name;artist_popularity;followers;genres
"7EpXEK6zCYHJHFdR7OWNIV";"Devarra";43;366;"[]"
"5ZATfKurLqflrBhv2FLht5";"Horace Silver";52;32252;"[""avant-garde jazz"",""bebop"",""big band"",""contemporary post-bop"",""cool jazz"",""hard bop"",""jazz"",""jazz blues"",""jazz funk"",""jazz fusion"",""latin jazz"",""soul jazz"",""stride"",""swing"",""vocal jazz""]"
"1MDw0zSUU0XtI9D5JgEZH5";"The Veils";49;27450;"[]"
"45hO5u8evtwIpSYefQHW8P";"Lani Mo";59;7144;"[""deep swedish hip hop"",""swedish hip hop"",""swedish idol pop""]"
"42SCX0E1m3YSaY2l3zHVJ4";"The Capris";34;3218;"[""doo-wop""]"
"1gM5NmdcwyXRWfM4lhuAHE7bgHwkBbX48cB9Zn2eJyeI5vP8XjjQhcCd2sS5eJfnPt";;;;
"22WZ7M8sxp5THdruNY3gXt";"The Doors";78;1983736;"[""album rock"",""blues-rock"",""classic rock"",""folk rock"",""hard rock"",""piano rock"",""psychedelic rock"",""rock""]"
"7sx3r4lMo079vO7lIi0fng6T1WoscBXu9YjFzN8uvTTG";;;;
"187oj7oxDgfK6Iub3HZI0L06wHJepmVUVm678ztbsewn";;;;
"0CF71zaDOJWCynIkW9bSK8";"White Zombie";59;234427;"[""alternative metal"",""alternative rock"",""comic"",""funk rock"",""groove metal"",""grunge"",""hard rock"",""industrial metal"",""industrial rock"",""metal"",""nu metal"",""post-grunge"",""rap metal"",""rap rock"",""rock""]"
"2KDkEWrvxN31Fibt4QXOsp2e8kPOo3AhnbJfp1Y8WHHB7wm3zwQUO1hPk4m4sOUz1E7FBTVTLCNunFGshI3UdG395lzXzg877eCJPNw4UI16Ky6ZqF62y7ncwA0vFzGKONuI";;;;
"1OsqAzBh0YCmsISYLgIOqa";"Haezer";40;6688;"[""deep chiptune"",""electro house"",""electro trash""]"
"0LcJLqbBmaGUft1e9Mm8HV";"ABBA";77;837911;"[""europop"",""mellow gold"",""swedish pop""]"
"66CXWjxzNUsdJxJ2JdwvnR";"Ariana Grande";91;9587240;"[""dance pop"",""pop"",""pop christmas"",""post-teen pop""]"
